ALSA: b'snd_pcm_hw_open' b"open '%s' failed (%i)"
ALSA: b'snd_pcm_hw_open' b"open '%s' failed (%i)"
ALSA: b'_snd_pcm_asym_open' b'%s slave is not defined'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_func_refer' b"Unable to find definition '%s'"
ALSA: b'_snd_config_evaluate' b'function %s returned error: %s'
ALSA: b'snd_config_expand' b'Evaluate error: %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_pcm_hw_open' b"open '%s' failed (%i)"
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_pcm_open_noupdate' b'Unknown PCM %s'
ALSA: b'snd_pcm_hw_open' b"open '%s' failed (%i)"
ALSA: b'snd_pcm_plug_hw_refine_schange' b"Unable to find an usable slave format for '%s'"
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Slave format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Unable to find an usable client format'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Slave format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b"Unable to find an usable slave format for '%s'"
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Slave format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Unable to find an usable client format'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Slave format: %s'
ALSA: b'snd_pcm_hw_open' b"open '%s' failed (%i)"
ALSA: b'snd_pcm_plug_hw_refine_schange' b"Unable to find an usable slave format for '%s'"
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Format: %s'
ALSA: b'snd_pcm_plug_hw_refine_schange' b'Slave format: %s'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Unable to find an usable client format'
ALSA: b'snd_pcm_plug_hw_refine_cchange' b'Format: %s'
